trade_id,entry_time,strategy,symbol,direction,entry_price,sl_price,tp_price,features_json,exit_time,exit_price,label,pnl_points
337fe717-b715-4780-943a-f91f6286eea8,2026-04-10T14:48:57.115936+00:00,strategy1_wick_rejection,MNQ1,-1,25354.25,25407.071428571428,25330.676801251535,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 12.75, ""p_range"": 43.25, ""p_upper_wick_r"": 0.9803921568627451, ""p_lower_wick_r"": 1.411764705882353, ""wick_penetration"": 1.4509803921568627, ""close_pct_body"": 0.803921568627451, ""rr_ratio"": 0.44628097698244207, ""session"": 1.0, ""hour_cst"": 6.0}",2026-04-10T14:00:00+00:00,25330.67680125153,1,23.5732
acb3a2dc-d3bc-4054-b8f8-ec4af4fe84f8,2026-04-13T01:20:06.458584+00:00,strategy1_wick_rejection,MNQ1,1,25058.0,24981.660714285714,25133.25645683163,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 35.75, ""p_range"": 91.0, ""p_upper_wick_r"": 0.7622377622377622, ""p_lower_wick_r"": 0.7832167832167832, ""wick_penetration"": 0.17482517482517482, ""close_pct_body"": 0.7762237762237763, ""rr_ratio"": 0.9858155748704707, ""session"": 0.0, ""hour_cst"": 18.0}",2026-04-13T22:00:00+00:00,25133.25645683163,1,75.2565
3d7671d6-f0c8-41cf-883a-9b8186563579,2026-04-13T06:57:14.609872+00:00,strategy1_wick_rejection,MNQ1,1,25107.5,25053.089285714286,25161.138929582685,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 35.75, ""p_range"": 91.0, ""p_upper_wick_r"": 0.7622377622377622, ""p_lower_wick_r"": 0.7832167832167832, ""wick_penetration"": 0.17482517482517482, ""close_pct_body"": 0.7762237762237763, ""rr_ratio"": 0.9858155748704707, ""session"": 0.0, ""hour_cst"": 18.0}",2026-04-13T22:00:00+00:00,25161.138929582685,1,53.6389
740d42fd-eb68-4967-bcd7-25163906dcae,2026-04-14T00:58:53.566550+00:00,strategy1_wick_rejection,MNQ1,-1,25590.25,25672.14285714286,25530.83753734391,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 18.75, ""p_range"": 33.25, ""p_upper_wick_r"": 0.18666666666666668, ""p_lower_wick_r"": 0.5866666666666667, ""wick_penetration"": 1.16, ""close_pct_body"": 0.5333333333333333, ""rr_ratio"": 0.7254901676278269, ""session"": 0.0, ""hour_cst"": 18.0}",2026-04-14T20:00:00+00:00,25672.14285714286,0,-81.8929
003c2093-14d1-4988-8ab0-5ec97d071b12,2026-04-16T15:52:47.206138+00:00,strategy1_wick_rejection,MNQ1,-1,26486.25,26549.23214285714,26303.029242987806,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 25.0, ""p_range"": 30.75, ""p_upper_wick_r"": 0.21, ""p_lower_wick_r"": 0.02, ""wick_penetration"": 0.08, ""close_pct_body"": 0.17, ""rr_ratio"": 2.9090905564737524, ""session"": 1.0, ""hour_cst"": 2.0}",2026-04-17T14:00:00+00:00,26549.23214285714,0,-62.9821
e2eb8385-5f5c-48c1-b39d-1a56374e7cd3,2026-04-19T22:03:09.175672+00:00,strategy1_wick_rejection,MNQ1,-1,26825.5,26911.071428571428,26658.70087358258,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 95.5, ""p_range"": 141.25, ""p_upper_wick_r"": 0.29842931937172773, ""p_lower_wick_r"": 0.1806282722513089, ""wick_penetration"": 0.22251308900523561, ""close_pct_body"": 0.7643979057591623, ""rr_ratio"": 1.9492385391017422, ""session"": 2.0, ""hour_cst"": 10.0}",2026-04-21T15:00:00+00:00,26658.70087358258,1,166.7991
34620315-c76c-4c3c-bb44-ca3840ae49bd,2026-04-21T15:59:25.185924+00:00,strategy1_wick_rejection,MNQ1,1,26752.5,26687.928571428572,26784.785713951147,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 50.75, ""p_range"": 68.25, ""p_upper_wick_r"": 0.1724137931034483, ""p_lower_wick_r"": 0.1724137931034483, ""wick_penetration"": 1.6798029556650247, ""close_pct_body"": 0.3497536945812808, ""rr_ratio"": 0.49999999481865115, ""session"": 1.0, ""hour_cst"": 8.0}",2026-04-21T15:00:00+00:00,26687.92857142857,0,-64.5714
31556bee-8644-4914-b392-07efe4b60ad9,2026-04-21T16:01:00.801167+00:00,strategy1_wick_rejection,MES1,1,7125.5,7112.107142857143,7134.428570910973,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 11.75, ""p_range"": 16.5, ""p_upper_wick_r"": 0.1276595744680851, ""p_lower_wick_r"": 0.2765957446808511, ""wick_penetration"": 1.1702127659574468, ""close_pct_body"": 0.3191489361702128, ""rr_ratio"": 0.6666666280193129, ""session"": 1.0, ""hour_cst"": 8.0}",2026-04-21T15:00:00+00:00,7134.428570910973,1,8.9286
82bf8d23-7f12-4aed-ba38-e3063e78b001,2026-04-21T16:01:13.874399+00:00,strategy1_wick_rejection,MNQ1,1,26726.25,26661.678571428572,26758.535713951147,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 50.75, ""p_range"": 68.25, ""p_upper_wick_r"": 0.1724137931034483, ""p_lower_wick_r"": 0.1724137931034483, ""wick_penetration"": 1.6798029556650247, ""close_pct_body"": 0.3497536945812808, ""rr_ratio"": 0.49999999481865115, ""session"": 1.0, ""hour_cst"": 8.0}",2026-04-21T15:00:00+00:00,26661.67857142857,0,-64.5714
6a683b5e-f9a9-47ce-b945-32283300d426,2026-04-21T16:01:56.702223+00:00,strategy1_wick_rejection,MES1,1,7125.25,7111.857142857143,7134.178570910973,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 11.75, ""p_range"": 16.5, ""p_upper_wick_r"": 0.1276595744680851, ""p_lower_wick_r"": 0.2765957446808511, ""wick_penetration"": 1.1702127659574468, ""close_pct_body"": 0.3191489361702128, ""rr_ratio"": 0.6666666280193129, ""session"": 1.0, ""hour_cst"": 8.0}",2026-04-21T15:00:00+00:00,7134.178570910973,1,8.9286
